YEAR,MO,DY,T2M
2024,1,12,-1.98
2024,1,13,-11.64
2024,1,14,-9.04
2024,1,15,-8.7
2024,1,16,-6.38
2024,1,17,1.93
2024,1,18,-0.02
2024,1,19,-1.49
2024,1,20,0.84
2024,1,21,4.88
2024,1,22,7.67
2024,1,23,7.18
2024,1,24,7.4
2024,1,25,6.38
2024,1,26,6.06
2024,1,27,12.26
2024,1,28,12.92
2024,1,29,11.03
2024,1,30,11.0
2024,1,31,10.44
2024,2,1,8.41
2024,2,2,6.55
2024,2,3,5.64
2024,2,4,4.45
2024,2,5,5.31
2024,2,6,5.12
2024,2,7,4.58
2024,2,8,3.82
2024,2,9,3.82
2024,2,10,4.84
2024,2,11,6.53
2024,2,12,5.95
2024,2,13,4.36
2024,2,14,1.59
2024,2,15,3.83
2024,2,16,1.23
2024,2,17,2.13
2024,2,18,5.05
2024,2,19,5.52
2024,2,20,7.24
2024,2,21,7.4
2024,2,22,7.24
2024,2,23,7.68
2024,2,24,6.5
2024,2,25,6.31
2024,2,26,2.14
2024,2,27,2.71
2024,2,28,7.01
2024,2,29,3.51
2024,3,1,2.6
2024,3,2,0.95
2024,3,3,0.99
2024,3,4,1.31
2024,3,5,1.8
2024,3,6,1.4
2024,3,7,2.8
2024,3,8,5.61
2024,3,9,6.34
2024,3,10,5.98
2024,3,11,5.59
2024,3,12,5.53
2024,3,13,5.62
2024,3,14,6.58
2024,3,15,8.99
2024,3,16,11.91
2024,3,17,12.01
2024,3,18,13.98
2024,3,19,11.79
2024,3,20,8.63
2024,3,21,9.52
2024,3,22,9.73
2024,3,23,8.11
2024,3,24,7.26
2024,3,25,6.67
2024,3,26,7.03
2024,3,27,7.81
2024,3,28,6.17
2024,3,29,7.8
2024,3,30,8.14
2024,3,31,8.85
2024,4,1,10.83
2024,4,2,12.83
2024,4,3,6.71
2024,4,4,4.53
2024,4,5,4.83
2024,4,6,5.86
2024,4,7,6.94
2024,4,8,7.66
2024,4,9,8.98
2024,4,10,9.6
2024,4,11,9.05
2024,4,12,10.04
2024,4,13,12.69
2024,4,14,10.84
2024,4,15,8.05
2024,4,16,6.09
2024,4,17,7.12
2024,4,18,8.4
2024,4,19,9.7
2024,4,20,10.24
2024,4,21,8.18
2024,4,22,9.33
2024,4,23,12.16
2024,4,24,10.22
2024,4,25,9.53
2024,4,26,9.27
2024,4,27,8.77
2024,4,28,8.17
2024,4,29,6.38
2024,4,30,5.79
2024,5,1,7.92
2024,5,2,9.43
2024,5,3,9.65
2024,5,4,7.55
2024,5,5,7.43
2024,5,6,7.58
2024,5,7,7.76
2024,5,8,9.69
2024,5,9,14.19
2024,5,10,19.78
2024,5,11,20.73
2024,5,12,15.3
2024,5,13,13.05
2024,5,14,14.51
2024,5,15,16.05
2024,5,16,13.35
2024,5,17,10.7
2024,5,18,9.44
2024,5,19,9.43
2024,5,20,10.21
2024,5,21,9.33
2024,5,22,9.15
2024,5,23,11.02
2024,5,24,11.64
2024,5,25,9.48
2024,5,26,11.73
2024,5,27,13.55
2024,5,28,11.21
2024,5,29,10.4
2024,5,30,10.78
2024,5,31,13.92
2024,6,1,14.58
2024,6,2,12.99
2024,6,3,11.6
2024,6,4,12.38
2024,6,5,13.83
2024,6,6,15.31
2024,6,7,17.97
2024,6,8,17.34
2024,6,9,15.49
2024,6,10,15.48
2024,6,11,14.52
2024,6,12,12.69
2024,6,13,12.67
2024,6,14,12.49
2024,6,15,10.33
2024,6,16,10.53
2024,6,17,10.97
2024,6,18,13.05
2024,6,19,17.37
2024,6,20,20.12
2024,6,21,20.87
2024,6,22,18.34
2024,6,23,14.75
2024,6,24,15.12
2024,6,25,19.08
2024,6,26,15.65
2024,6,27,14.69
2024,6,28,17.15
2024,6,29,16.55
2024,6,30,17.81
2024,7,1,17.73
2024,7,2,15.3
2024,7,3,15.76
2024,7,4,19.98
2024,7,5,23.65
2024,7,6,24.21
2024,7,7,24.9
2024,7,8,25.72
2024,7,9,26.3
2024,7,10,21.66
2024,7,11,19.19
2024,7,12,-999.0
2024,7,13,-999.0
2024,7,14,-999.0
2024,7,15,19.52
2024,7,16,23.61
2024,7,17,21.17
2024,7,18,19.98
2024,7,19,21.42
2024,7,20,23.24
2024,7,21,19.35
2024,7,22,16.23
2024,7,23,17.39
2024,7,24,18.08
2024,7,25,16.29
2024,7,26,18.23
2024,7,27,18.12
2024,7,28,17.29
2024,7,29,17.08
2024,7,30,19.65
2024,7,31,22.4
2024,8,1,26.29
2024,8,2,24.65
2024,8,3,20.79
2024,8,4,22.24
2024,8,5,20.48
2024,8,6,18.27
2024,8,7,21.66
2024,8,8,24.62
2024,8,9,21.67
2024,8,10,21.45
2024,8,11,19.28
2024,8,12,17.26
2024,8,13,16.54
2024,8,14,18.83
2024,8,15,18.06
2024,8,16,19.4
2024,8,17,20.5
2024,8,18,18.4
2024,8,19,17.77
2024,8,20,18.12
2024,8,21,17.44
2024,8,22,15.8
2024,8,23,14.36
2024,8,24,14.98
2024,8,25,17.94
2024,8,26,19.58
2024,8,27,16.0
2024,8,28,16.23
2024,8,29,20.02
2024,8,30,23.63
2024,8,31,25.46
2024,9,1,22.14
2024,9,2,17.66
2024,9,3,18.22
2024,9,4,22.5
2024,9,5,25.67
2024,9,6,26.29
2024,9,7,23.24
2024,9,8,20.94
2024,9,9,19.32
2024,9,10,18.44
2024,9,11,14.98
2024,9,12,15.33
2024,9,13,15.98
2024,9,14,16.11
2024,9,15,13.62
2024,9,16,15.37
2024,9,17,13.29
2024,9,18,15.1
2024,9,19,15.24
2024,9,20,14.0
2024,9,21,15.42
2024,9,22,16.6
2024,9,23,19.19
2024,9,24,22.4
2024,9,25,15.19
2024,9,26,15.26
2024,9,27,15.91
2024,9,28,15.3
2024,9,29,12.21
2024,9,30,13.55
2024,10,1,16.59
2024,10,2,11.76
